model,likes,downloads,tags
gemma-7b,3174,54094,"transformers, safetensors, gguf, gemma, text-generation, arxiv:2305.14314, arxiv:2312.11805, arxiv:2009.03300, arxiv:1905.07830, arxiv:1911.11641, arxiv:1904.09728, arxiv:1905.10044, arxiv:1907.10641, arxiv:1811.00937, arxiv:1809.02789, arxiv:1911.01547, arxiv:1705.03551, arxiv:2107.03374, arxiv:2108.07732, arxiv:2110.14168, arxiv:2304.06364, arxiv:2206.04615, arxiv:1804.06876, arxiv:2110.08193, arxiv:2009.11462, arxiv:2101.11718, arxiv:1804.09301, arxiv:2109.07958, arxiv:2203.09509, license:gemma, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"
gemma-7b-it,1176,72063,"transformers, safetensors, gguf, gemma, text-generation, conversational, arxiv:2312.11805, arxiv:2009.03300, arxiv:1905.07830, arxiv:1911.11641, arxiv:1904.09728, arxiv:1905.10044, arxiv:1907.10641, arxiv:1811.00937, arxiv:1809.02789, arxiv:1911.01547, arxiv:1705.03551, arxiv:2107.03374, arxiv:2108.07732, arxiv:2110.14168, arxiv:2304.06364, arxiv:2206.04615, arxiv:1804.06876, arxiv:2110.08193, arxiv:2009.11462, arxiv:2101.11718, arxiv:1804.09301, arxiv:2109.07958, arxiv:2203.09509, base_model:google/gemma-7b, base_model:finetune:google/gemma-7b, license:gemma, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"
moondream2,1154,347003,"transformers, safetensors, gguf, moondream1, text-generation, image-text-to-text, custom_code, doi:10.57967/hf/3219, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us"
FLUX.1-dev-gguf,1078,174627,"gguf, text-to-image, image-generation, flux, base_model:black-forest-labs/FLUX.1-dev, base_model:quantized:black-forest-labs/FLUX.1-dev, license:other, region:us"
DeepSeek-R1-GGUF,1075,54746,"transformers, gguf, deepseek_v3, text-generation, deepseek, unsloth, custom_code, en, arxiv:2501.12948, base_model:deepseek-ai/DeepSeek-R1, base_model:quantized:deepseek-ai/DeepSeek-R1, license:mit, autotrain_compatible, endpoints_compatible, region:us, conversational"
gemma-2b,1007,410431,"transformers, safetensors, gguf, gemma, text-generation, arxiv:2312.11805, arxiv:2009.03300, arxiv:1905.07830, arxiv:1911.11641, arxiv:1904.09728, arxiv:1905.10044, arxiv:1907.10641, arxiv:1811.00937, arxiv:1809.02789, arxiv:1911.01547, arxiv:1705.03551, arxiv:2107.03374, arxiv:2108.07732, arxiv:2110.14168, arxiv:2304.06364, arxiv:2206.04615, arxiv:1804.06876, arxiv:2110.08193, arxiv:2009.11462, arxiv:2101.11718, arxiv:1804.09301, arxiv:2109.07958, arxiv:2203.09509, license:gemma, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"
miqu-1-70b,986,203,"gguf, endpoints_compatible, region:us"
Tifa-Deepsex-14b-CoT-GGUF-Q4,797,2655,"transformers, gguf, incremental-pretraining, sft, reinforcement-learning, roleplay, cot, sex, zh, en, license:apache-2.0, endpoints_compatible, region:us, conversational, not-for-all-audiences"
gemma-2b-it,751,161318,"transformers, safetensors, gguf, gemma, text-generation, conversational, arxiv:2312.11805, arxiv:2009.03300, arxiv:1905.07830, arxiv:1911.11641, arxiv:1904.09728, arxiv:1905.10044, arxiv:1907.10641, arxiv:1811.00937, arxiv:1809.02789, arxiv:1911.01547, arxiv:1705.03551, arxiv:2107.03374, arxiv:2108.07732, arxiv:2110.14168, arxiv:2304.06364, arxiv:2206.04615, arxiv:1804.06876, arxiv:2110.08193, arxiv:2009.11462, arxiv:2101.11718, arxiv:1804.09301, arxiv:2109.07958, arxiv:2203.09509, license:gemma, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"
mxbai-embed-large-v1,679,2341576,"sentence-transformers, onnx, safetensors, openvino, gguf, bert, feature-extraction, mteb, transformers.js, transformers, en, arxiv:2309.12871, license:apache-2.0, model-index, autotrain_compatible, text-embeddings-inference, endpoints_compatible, region:us"
stable-code-3b,644,5080,"transformers, safetensors, gguf, stablelm, text-generation, causal-lm, code, en, dataset:tiiuae/falcon-refinedweb, dataset:bigcode/the-stack-github-issues, dataset:bigcode/commitpackft, dataset:bigcode/starcoderdata, dataset:EleutherAI/proof-pile-2, dataset:meta-math/MetaMathQA, arxiv:2307.09288, arxiv:2104.09864, arxiv:2204.06745, arxiv:2305.06161, arxiv:2310.10631, arxiv:2309.12284, arxiv:1910.02054, license:other, model-index, autotrain_compatible, endpoints_compatible, region:us"
Mixtral-8x7B-Instruct-v0.1-GGUF,621,30361,"transformers, gguf, mixtral, fr, it, de, es, en, base_model:mistralai/Mixtral-8x7B-Instruct-v0.1, base_model:quantized:mistralai/Mixtral-8x7B-Instruct-v0.1, license:apache-2.0, region:us, conversational"
Mistral-7B-Instruct-v0.1-GGUF,579,277398,"transformers, gguf, mistral, finetuned, text-generation, base_model:mistralai/Mistral-7B-Instruct-v0.1, base_model:quantized:mistralai/Mistral-7B-Instruct-v0.1, license:apache-2.0, region:us"
OmniVLM-968M,518,717,"gguf, multimodal, conversational, GGUF, Image-Text-to-Text, arxiv:2412.11475, license:apache-2.0, endpoints_compatible, region:us"
Phi-3-mini-4k-instruct-gguf,495,21851,"gguf, nlp, code, text-generation, en, license:mit, endpoints_compatible, region:us"
Llama-2-7B-Chat-GGUF,476,97061,"transformers, gguf, llama, facebook, meta, pytorch, llama-2, text-generation, en, arxiv:2307.09288, base_model:meta-llama/Llama-2-7b-chat-hf, base_model:quantized:meta-llama/Llama-2-7b-chat-hf, license:llama2, region:us"
HunyuanVideo_comfy,458,5497,"gguf, license:other, region:us"
Mistral-7B-Instruct-v0.2-GGUF,439,51177,"transformers, gguf, mistral, finetuned, text-generation, arxiv:2310.06825, base_model:mistralai/Mistral-7B-Instruct-v0.2, base_model:quantized:mistralai/Mistral-7B-Instruct-v0.2, license:apache-2.0, region:us, conversational"
Mixtral-8x7B-v0.1-GGUF,430,6642,"transformers, gguf, mixtral, fr, it, de, es, en, base_model:mistralai/Mixtral-8x7B-v0.1, base_model:quantized:mistralai/Mixtral-8x7B-v0.1, license:apache-2.0, region:us"
t5-v1_1-xxl-encoder-gguf,376,87506,"gguf, en, base_model:google/t5-v1_1-xxl, base_model:quantized:google/t5-v1_1-xxl, license:apache-2.0, endpoints_compatible, region:us"
sqlcoder-7b-2,369,52946,"transformers, safetensors, gguf, llama, text-generation, license:cc-by-sa-4.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"
dolphin-2.5-mixtral-8x7b-GGUF,303,6377,"transformers, gguf, mixtral, en, dataset:ehartford/dolphin, dataset:jondurbin/airoboros-2.2.1, dataset:ehartford/dolphin-coder, dataset:migtissera/Synthia-v1.3, dataset:teknium/openhermes, dataset:ise-uiuc/Magicoder-OSS-Instruct-75K, dataset:ise-uiuc/Magicoder-Evol-Instruct-110K, dataset:LDJnr/Pure-Dove, base_model:cognitivecomputations/dolphin-2.5-mixtral-8x7b, base_model:quantized:cognitivecomputations/dolphin-2.5-mixtral-8x7b, license:apache-2.0, region:us, conversational"
Osmosis-Structure-0.6B,303,1131,"transformers, safetensors, gguf, license:apache-2.0, endpoints_compatible, region:us"
Meta-Llama-3-8B-Instruct-GGUF,300,12778,"gguf, facebook, meta, pytorch, llama, llama-3, text-generation, en, license:llama3, endpoints_compatible, region:us, conversational"
gemma-3-27b-it-qat-q4_0-gguf,294,12182,"gguf, gemma, gemma3, image-text-to-text, arxiv:1905.07830, arxiv:1905.10044, arxiv:1911.11641, arxiv:1904.09728, arxiv:1705.03551, arxiv:1911.01547, arxiv:1907.10641, arxiv:1903.00161, arxiv:2009.03300, arxiv:2304.06364, arxiv:2103.03874, arxiv:2110.14168, arxiv:2311.12022, arxiv:2108.07732, arxiv:2107.03374, arxiv:2210.03057, arxiv:2106.03193, arxiv:1910.11856, arxiv:2502.12404, arxiv:2502.21228, arxiv:2404.16816, arxiv:2104.12756, arxiv:2311.16502, arxiv:2203.10244, arxiv:2404.12390, arxiv:1810.12440, arxiv:1908.02660, arxiv:2312.11805, base_model:google/gemma-3-27b-it, base_model:quantized:google/gemma-3-27b-it, license:gemma, endpoints_compatible, region:us, conversational"
Triplex,284,1607,"transformers, safetensors, gguf, phi3, text-generation, conversational, custom_code, license:cc-by-nc-sa-4.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"
DeepSeek-R1-Distill-Qwen-32B-GGUF,275,22154,"gguf, text-generation, base_model:deepseek-ai/DeepSeek-R1-Distill-Qwen-32B, base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-32B, endpoints_compatible, region:us, imatrix, conversational"
DeepSeek-R1-Distill-Llama-8B-GGUF,270,38790,"transformers, gguf, llama, text-generation, deepseek, unsloth, llama-3, meta, en, arxiv:2501.12948, base_model:deepseek-ai/DeepSeek-R1-Distill-Llama-8B, base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Llama-8B, license:llama3.1, autotrain_compatible, endpoints_compatible, region:us, conversational"
OmniAudio-2.6B,266,276,"gguf, audio-text-to-text, chat, audio, GGUF, en, license:apache-2.0, region:us"
Llama3.1-8B-Chinese-Chat,262,14579,"transformers, safetensors, gguf, llama, text-generation, llama-factory, orpo, conversational, en, zh, arxiv:2403.07691, base_model:meta-llama/Llama-3.1-8B-Instruct, base_model:quantized:meta-llama/Llama-3.1-8B-Instruct, doi:10.57967/hf/2779, license:llama3.1, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"
Mistral-7B-v0.1-GGUF,261,11250,"transformers, gguf, mistral, pretrained, text-generation, base_model:mistralai/Mistral-7B-v0.1, base_model:quantized:mistralai/Mistral-7B-v0.1, license:apache-2.0, region:us"
FLUX.1-schnell-gguf,260,13492,"gguf, text-to-image, image-generation, flux, base_model:black-forest-labs/FLUX.1-schnell, base_model:quantized:black-forest-labs/FLUX.1-schnell, license:apache-2.0, region:us"
Qwen3-Embedding-0.6B-GGUF,257,8453,"gguf, arxiv:2506.05176, base_model:Qwen/Qwen3-0.6B-Base, base_model:quantized:Qwen/Qwen3-0.6B-Base, license:apache-2.0, endpoints_compatible, region:us, conversational"
OpenHermes-2.5-Mistral-7B-GGUF,247,28009,"transformers, gguf, mistral, instruct, finetune, chatml, gpt4, synthetic data, distillation, en, base_model:teknium/OpenHermes-2.5-Mistral-7B, base_model:quantized:teknium/OpenHermes-2.5-Mistral-7B, license:apache-2.0, region:us"
